timestamp,linh_vuc,thoi_gian_dung_ai,thoi_gian_dung_ai_so,cong_cu_ai,so_cong_cu,nhan_xet,do_dai_nhan_xet,nhan,nhan_so
10/04/2026 13:27:19,Kinh tế,> 1 năm,4,Copilot,1,"Ai này cực kỳ hữu ích khi học tập và lập trình , tốc độ xử lý rất nhanh",19,Tích cực,1
11/03/2026 04:26:32,Công nghệ thông tin,> 1 năm,4,"ChatGPT, Gemini",2,AI khá thông minh và có thể đưa ra kết quả chính xác cho đa số các bài toán.,19,Tích cực,1
12/03/2026 14:44:32,Công nghệ thông tin,> 1 năm,4,ChatGPT,1,Khá thú vị khi Khá tiện lợi nhưng đôi khi hơi tào lao:) Cần cải thiện thêm.,17,Bình thường,0
20/03/2026 17:22:47,Công nghệ thông tin,< 3 tháng,1,ChatGPT,1,"Trong quá trình học tập, AI thực sự hữu ích khi học tập và làm việc Tuyệt vời!",18,Tích cực,1
15/03/2026 09:33:59,Học Sinh,< 3 tháng,1,ChatGPT,1,AI có thể giúp làm bài và tham khảo bài.tuy nhiên nó vẫn sẽ có lúc mắc sai cần nên kiểm tra lại trước khi dùng,26,Bình thường,0
19/03/2026 11:01:39,Công nghệ thông tin,3-6 tháng,2,ChatGPT,1,Al rất hữu ích trong việc học hỏi và học tập,11,Tích cực,1
20/03/2026 17:02:06,Thiết kế,3-6 tháng,2,Gemini,1,"Trong quá trình học tập, AI giải quyết các vấn đề trong học tập, thực tế khá tốt Tuyệt vời!",20,Tích cực,1
10/03/2026 22:17:59,Công nghệ thông tin,> 1 năm,4,"ChatGPT, Gemini",2,"Hữu ích cho việc tìm kiếm thông tin, học tập, lập trình và trả lời các câu hỏi thường ngày",20,Tích cực,1
10/03/2026 23:03:52,Kinh tế,> 1 năm,4,"ChatGPT, Gemini",2,"hữu ích, hỏi nhanh đáp lẹee",6,Tích cực,1
19/03/2026 14:37:19,Thiết kế,6-12 tháng,3,ChatGPT,1,Al làm rất chuyên nghiệp luôn trả lời đúng các câu hỏi,12,Tích cực,1
10/03/2026 21:58:58,Marketing,3-6 tháng,2,ChatGPT,1,AI này rất nhanh khi học tập và rèn luyện,10,Tích cực,1
18/03/2026 11:06:20,Thiết kế,< 3 tháng,1,ChatGPT,1,AI này rất hữu dụng để học tâp,8,Tích cực,1
18/03/2026 02:59:01,Việc Học,6-12 tháng,3,ChatGPT,1,"Theo quan sát, AL này rất có ích trong học tập và làm việc giải thích cho tôi các câu hỏi khó hiểu Còn nhiều điểm cần xem xét.",29,Bình thường,0
20/03/2026 12:29:37,Đang Đi Hc,< 3 tháng,1,ChatGPT,1,.....,1,Bình thường,0
11/03/2026 12:12:29,Học Sinh,6-12 tháng,3,ChatGPT,1,"AI này rất hữu dụng khi làm các bài tập về nhà, chẳng hạn như hỗ trợ sửa bài văn, hướng dẫn giải toán,...",24,Tích cực,1
22/03/2026 06:37:07,Công nghệ thông tin,6-12 tháng,3,"ChatGPT, Gemini",2,"Theo tôi, Tự động hóa công việc Hiệu suất và Tốc độ",12,Tích cực,1
18/03/2026 10:24:41,Marketing,3-6 tháng,2,Gemini,1,Al là một số thông tin rất hữu ích khi học tập và làm việc trong quá trình lập trình,20,Bình thường,0
12/03/2026 17:14:42,Marketing,6-12 tháng,3,ChatGPT,1,AI giúp tôi khá nhiều trong học tập và các công việc hằng ngày,14,Tích cực,1
15/03/2026 12:59:01,Công nghệ thông tin,< 3 tháng,1,ChatGPT,1,AL này rất có ích trong học tập và làm việc giải thích cho tôi các câu hỏi khó hiểu,20,Bình thường,0
20/03/2026 18:38:29,Công nghệ thông tin,< 3 tháng,1,ChatGPT,1,AI rất hữu dụng cho học tập và giúp có ú tưởng nhanh chóng chóng,15,Tích cực,1
19/03/2026 22:28:23,Thiết kế,> 1 năm,4,ChatGPT,1,........,1,Bình thường,0
11/03/2026 14:42:25,Công nghệ thông tin,> 1 năm,4,ChatGPT,1,AI tốt,2,Tích cực,1
08/03/2026 13:05:56,Công nghệ thông tin,6-12 tháng,3,"ChatGPT, Gemini",2,AI giúp đỡ tiết kiệm thời gian trong tìm đọc những kiến thức mới. Tuyệt vời!,16,Tích cực,1
16/03/2026 10:07:15,Học Sinh,6-12 tháng,3,Gemini,1,Al này hỗ trợ học tập tốt,7,Tích cực,1
22/03/2026 20:52:59,Marketing,> 1 năm,4,ChatGPT,1,"AI giúp con người sáng tạo nội dung, giải quyết vấn đề và học hỏi kiến thức mới mỗi ngày.",20,Tích cực,1
19/03/2026 01:17:27,Công nghệ thông tin,> 1 năm,4,ChatGPT,1,"Trong quá trình học tập, AI này cực kỳ thông dụng trong cuộc sống",14,Tích cực,1
18/03/2026 22:39:32,Công nghệ thông tin,3-6 tháng,2,ChatGPT,1,Khá thú vị khi Al này giúp tôi có thể tra cứu những bài khó trong việc học Cần cải thiện thêm.,22,Bình thường,0
20/03/2026 11:49:45,Công nghệ thông tin,6-12 tháng,3,ChatGPT,1,Lá rất hữu ích,4,Tích cực,1
20/03/2026 11:34:30,Công nghệ thông tin,6-12 tháng,3,ChatGPT,1,AI là thứ không thể thíu,6,Bình thường,0
20/03/2026 17:00:39,Công nghệ thông tin,> 1 năm,4,ChatGPT,1,"Theo tôi, Al rất hữu ích trong việc học hỏi",10,Tích cực,1
11/03/2026 04:42:39,Công nghệ thông tin,> 1 năm,4,"ChatGPT, Gemini, Claude",3,AI rất có lợi trong việc đưa ra các sáng kiến và giải pháp xử lý vấn đề trong cuộc sống và học tập,24,Tích cực,1
23/03/2026 22:07:36,Học sinh,< 3 tháng,1,ChatGPT,1,Al là một ứng dụng khá xuất sắc cho việc tìm kiếm và học tập,15,Tích cực,1
20/03/2026 19:50:56,Công nghệ thông tin,6-12 tháng,3,Gemini,1,AI là công nghệ thông minh giúp con người học tập nhanh hơn và xử lý thông tin hiệu quả hơn.,21,Tích cực,1
13/03/2026 23:14:50,Marketing,< 3 tháng,1,"ChatGPT, Gemini",2,AI hỗ trợ học tập cực kỳ ổn nhưng phải biết train nó Cần cải thiện thêm.,17,Bình thường,0
11/03/2026 13:21:35,Kinh tế,> 1 năm,4,ChatGPT,1,AI này rất hữu ích trong học tập,8,Tích cực,1
20/03/2026 06:10:17,Đang Học,3-6 tháng,2,ChatGPT,1,"AI này cũng tốt, rất phù hợp với mình",9,Tích cực,1
11/03/2026 13:24:32,Thiết kế,< 3 tháng,1,"ChatGPT, Gemini",2,AI này rất hữu ích khi học tập,8,Bình thường,0
20/03/2026 20:34:24,Công nghệ thông tin,6-12 tháng,3,"Gemini, Copilot",2,AI này rất tốt và hữu ích cho việc học tập và lập trình,14,Tích cực,1
16/03/2026 05:07:15,Công nghệ thông tin,3-6 tháng,2,Gemini,1,Al này hỗ trợ học tập tốt,7,Tích cực,1
16/03/2026 09:05:39,Kinh tế,> 1 năm,4,Gemini,1,"Tuy nhiên, Tôi không thích AI Hy vọng sẽ tốt hơn.",11,Tiêu cực,-1
12/03/2026 15:20:37,Học Sinh,< 3 tháng,1,"ChatGPT, Gemini",2,"Rất hữu dụng nếu biết dùng đúng lệnh, và sẽ dễ gây sai lệch nếu không tìm hiểu kĩ Cần cải thiện thêm.",23,Bình thường,0
07/04/2026 14:29:34,Thiết kế,> 1 năm,4,ChatGPT,1,"Nhìn chung, AI là công nghệ phụ trợ con người xử lý dữ liệu nhanh chóng và tự động hóa nhiều công việc, mang lại hiệu quả cao trong nhiều lĩnh vực.",32,Bình thường,0
21/03/2026 19:39:49,Học sinh,< 3 tháng,1,ChatGPT,1,AI rất hữu ích trong việc học tập,8,Tích cực,1
07/04/2026 14:28:25,Công nghệ thông tin,> 1 năm,4,"ChatGPT, Gemini",2,Hữu ích và giúp em hiểu biết hơn,8,Tích cực,1
12/03/2026 20:16:18,Công nghệ thông tin,< 3 tháng,1,"ChatGPT, Gemini",2,"Thật sự, Ai tiện lợi trong việc tra cứu thông tin và tổng hợp các kiến thức cô đọng nhất",20,Tích cực,1
19/03/2026 16:52:26,Công nghệ thông tin,> 1 năm,4,ChatGPT,1,Al này thực sự hữu ích trong việc học tập và lập trình,13,Tích cực,1
18/03/2026 10:40:04,Công nghệ thông tin,< 3 tháng,1,ChatGPT,1,AI rất hữu ích và tiện lợi trong học tập,10,Tích cực,1
17/03/2026 06:34:19,Công nghệ thông tin,> 1 năm,4,Gemini,1,"Theo quan sát, Al hỗ trợ giải quyết mọi vấn đề về học tập và các lĩnh vực khác.",19,Bình thường,0
15/03/2026 16:06:38,Công nghệ thông tin,< 3 tháng,1,ChatGPT,1,"Theo tôi, Tiện trong công việc và học tập",9,Tích cực,1
21/03/2026 03:33:55,Công nghệ thông tin,3-6 tháng,2,Gemini,1,Khá thú vị khi AI này rất hữu ích trong học tập và lập trình chỉnh sữa ảnh hoặc video Còn nhiều điểm cần xem xét.,26,Bình thường,0
11/03/2026 18:01:05,Học Tập Ở Trường Trung Học,> 1 năm,4,ChatGPT,1,AI giúp việc học tập dễ dàng hơn và có thể hiểu được bài mình chưa hiểu,17,Bình thường,0
11/03/2026 12:37:51,Ngôn Ngữ,> 1 năm,4,"ChatGPT, Gemini",2,AI hỗ trợ trong học tập và các lĩnh vực khác,11,Tích cực,1
16/03/2026 09:24:47,Điện - Điện Tử,> 1 năm,4,ChatGPT,1,"Theo quan sát, Al này thực sự hiểu ích khí học tập và lập trình",15,Bình thường,0
05/04/2026 04:26:51,Công nghệ thông tin,6-12 tháng,3,"ChatGPT, Gemini, Claude, Copilot",4,"AI giúp đỡ ích thực sự nhiều trong học tập có thể nói đến như là tra tìm tài liệu, tổng tài liệu, tổng hợp nội dung, làm bài tập, tiết kiệm thời gian.",34,Bình thường,0
07/04/2026 14:25:45,Công nghệ thông tin,> 1 năm,4,"ChatGPT, Gemini, Claude, Copilot, Midjourney",5,"AI rất hữu ích trong đời sống, lập trình và các lĩnh vực khác nữa",15,Tích cực,1
11/03/2026 21:51:55,Kinh tế,< 3 tháng,1,"ChatGPT, Gemini, Qanda, doulingo",4,"Al là một công cụ khá hữu ích, tiện lợi khi học tập và lập trình. Al trợ giúp ta trao dồi kiến thức, giải các bài tập,.... Al là một công cụ mà mọi nhà nên dùng",38,Tiêu cực,-1
18/03/2026 21:33:51,Marketing,> 1 năm,4,ChatGPT,1,giúp tôi rất nhiều,4,Bình thường,0
19/03/2026 09:51:35,Công nghệ thông tin,3-6 tháng,2,Gemini,1,AI là một ứng dụng rất giúp đỡ ích cho cuộc sống và con người,15,Tích cực,1
15/03/2026 21:17:16,Công nghệ thông tin,> 1 năm,4,ChatGPT,1,Ai này rất thông minh và hữu dụng khi học tập Tuyệt vời!,13,Tích cực,1
09/03/2026 00:43:49,Công nghệ thông tin,6-12 tháng,3,"ChatGPT, Gemini, Copilot",3,"Thật sự, AI rất hữu ích trong học tập, lập trình và làm việc Tuyệt vời!",16,Tích cực,1
16/03/2026 21:04:05,Còn Đi Học Thcs,> 1 năm,4,Gemini,1,Tôi cũng không thích AI,5,Tiêu cực,-1
17/03/2026 19:01:47,Công nghệ thông tin,3-6 tháng,2,ChatGPT,1,AI này giúp đỡ học tập,6,Bình thường,0
21/03/2026 14:23:54,Marketing,3-6 tháng,2,Gemini,1,Gemini này rất tiện dụng,5,Bình thường,0
21/03/2026 17:31:52,Công nghệ thông tin,> 1 năm,4,ChatGPT,1,"AI là một công nghệ hiện đại, rất hữu ích trong học tập, giúp con người tìm kiếm thông tin nhanh chóng và hỗ trợ giải quyết nhiều vấn đề hiệu quả.",32,Tích cực,1
19/03/2026 06:29:40,Công nghệ thông tin,6-12 tháng,3,"ChatGPT, Gemini, Midjourney",3,Khá thú vị khi Giúp tôi có thể tính các khoản chi phí và phụ trợ tôi tiết kiệm kinh tế,21,Bình thường,0
18/03/2026 19:04:05,Công nghệ thông tin,6-12 tháng,3,Gemini,1,Tôi cũng không thích AI,5,Tiêu cực,-1
16/03/2026 16:12:21,Công nghệ thông tin,6-12 tháng,3,ChatGPT,1,Rất hữu ích,3,Bình thường,0
11/03/2026 17:32:23,Marketing,< 3 tháng,1,ChatGPT,1,Chúng tôi đề xuất rằng AI sẽ được đánh giá tích cực khi nó được xem là vượt trội hơn con người và khi cá nhân hóa không phải là yếu tố quan trọng trong ngữ cảnh quyết định đó,40,Tích cực,1
16/03/2026 05:36:26,Kinh tế,< 3 tháng,1,Claude,1,Rất hưũ ít khi học tập,6,Tích cực,1
17/03/2026 20:41:07,Học sinh,> 1 năm,4,"Gemini, Copilot",2,"AI là trợ thủ đắc lực trong học tập, giúp cá nhân hóa lộ trình tri thức, giải đáp thắc mắc tức thì và mở ra kho tàng sáng tạo vô tận.",32,Tích cực,1
19/03/2026 06:04:05,Học sinh,3-6 tháng,2,Gemini,1,Tôi cũng không thích AI,5,Tiêu cực,-1
22/03/2026 14:59:25,Công nghệ thông tin,6-12 tháng,3,ChatGPT,1,"Trong quá trình học tập, AI dùng khá tốt về công nghệ,... Tôi rất hài lòng.",16,Tích cực,1
20/03/2026 12:28:23,Kinh tế,< 3 tháng,1,ChatGPT,1,........,1,Bình thường,0
18/03/2026 14:49:25,Công nghệ thông tin,> 1 năm,4,ChatGPT,1,"Giải đáp những câu hỏi ,bài toán khó, giải trình có logic, hay , thông minh",16,Bình thường,0
10/03/2026 17:42:39,Công nghệ thông tin,> 1 năm,4,"ChatGPT, Gemini, Claude",3,AI cực kỳ có lợi trong việc đưa ra các sáng kiến và giải pháp xử lý vấn đề trong cuộc sống và học tập,25,Tích cực,1
18/03/2026 13:34:19,Học Sinh,< 3 tháng,1,Gemini,1,Al giúp giải quyết mọi vấn đề về học tập và các lĩnh vực khác.,15,Bình thường,0
19/03/2026 11:00:39,Công nghệ thông tin,3-6 tháng,2,ChatGPT,1,Al rất hữu ích trong việc học hỏi,8,Tích cực,1
18/03/2026 18:33:55,Đang Là Học Sinh,< 3 tháng,1,Gemini,1,AI này rất hữu ích trong học tập và lập trình chỉnh sữa ảnh hoặc video,16,Bình thường,0
18/03/2026 05:24:53,Công nghệ thông tin,> 1 năm,4,ChatGPT,1,"Al rất hữu ích trong học tập, hỗ trợ tìm kiếm thông tin nhanh hỗ trợ làm bài và giải thích dễ hiểu",23,Tích cực,1
13/03/2026 02:31:32,Học Sinh,6-12 tháng,3,ChatGPT,1,"Al đã giúp tôi trong việc học tập và nó có nhiều lợi thế cho tôi như giải các bài tập khó,...",22,Tích cực,1
06/04/2026 14:27:30,Học sinh,> 1 năm,4,"ChatGPT, Gemini",2,"AI hữu ích khi học tập, đặc biệt là trong việc học lập trình, có thể sửa lỗi code và giải thích code Tôi rất hài lòng.",27,Tích cực,1
13/03/2026 15:43:55,Công nghệ thông tin,3-6 tháng,2,"ChatGPT, Gemini",2,Ai đưa ra kết quả nhanh chóng Cần cải thiện thêm.,11,Bình thường,0
18/03/2026 22:29:37,Công nghệ thông tin,< 3 tháng,1,ChatGPT,1,.....,1,Bình thường,0
10/04/2026 07:29:00,Học Trung Học Cơ Sở,> 1 năm,4,"ChatGPT, Gemini",2,"Thật sự, AI rất hữu dụng trong học tập và lập trình Tuyệt vời!",14,Tích cực,1
18/03/2026 19:36:13,Công nghệ thông tin,< 3 tháng,1,ChatGPT,1,Khá thú vị khi Al này hữu ích cho công việc,11,Bình thường,0
19/03/2026 16:33:14,Công nghệ thông tin,> 1 năm,4,"ChatGPT, Gemini, Copilot",3,AI này rất hữu ích trong mọi lĩnh vực,9,Tích cực,1
15/03/2026 12:04:05,Công nghệ thông tin,< 3 tháng,1,Gemini,1,Tôi cũng không thích AI,5,Tiêu cực,-1
13/03/2026 15:10:10,Học,> 1 năm,4,ChatGPT,1,"Trong quá trình học tập, AI giúp tôi thực sự nhiều trong học tập và những việc khác hằng ngày Tuyệt vời!",22,Tích cực,1
11/03/2026 12:12:57,Công nghệ thông tin,< 3 tháng,1,ChatGPT,1,Al rất hữu ích trong việc học tập và còn dùng để lm ảnh hoặc nhiều thứ khác,18,Tích cực,1
16/03/2026 19:08:56,Marketing,6-12 tháng,3,"ChatGPT, Gemini, Claude",3,"AI là công nghệ thông minh giúp con người học tập hiệu quả hơn, hỗ trợ tìm kiếm thông tin, giải đáp thắc mắc và nâng cao khả năng sáng tạo.",31,Bình thường,0
18/03/2026 10:31:34,Kinh tế,6-12 tháng,3,ChatGPT,1,AI rất hữu ích trong việc học tập và lập trình,11,Tích cực,1
10/03/2026 22:20:37,Thiết kế,6-12 tháng,3,"ChatGPT, Gemini",2,"Rất hữu dụng nếu biết dùng đúng lệnh, và sẽ dễ gây sai lệch nếu không tìm hiểu kĩ",19,Bình thường,0
11/03/2026 15:27:48,Công nghệ thông tin,> 1 năm,4,"ChatGPT, Gemini",2,AI khá là tốt nhưng không nên quá lạm dụng nó,11,Bình thường,0
11/03/2026 09:29:50,Điện,> 1 năm,4,"ChatGPT, Gemini, Copilot",3,AI hỗ trợ nhiều trong đời sống như học tập,10,Tích cực,1
18/03/2026 19:58:23,Kinh tế,3-6 tháng,2,ChatGPT,1,Tôi nghĩ AI sẽ ko hiểu đc ý toii muốn j,11,Bình thường,0
16/03/2026 23:15:00,Thiết kế,3-6 tháng,2,Không,1,"AI rất hữu ích cho Việc học tập và lập trình ,trả lời những câu hỏi thắt mắt",18,Bình thường,0
20/03/2026 10:16:29,Công nghệ thông tin,> 1 năm,4,ChatGPT,1,"AI (trí tuệ nhân tạo) là một công nghệ hiện đại, giúp con người làm việc nhanh hơn, chính xác hơn và hỗ trợ giải quyết nhiều vấn đề trong cuộc sống.",32,Tích cực,1
12/03/2026 08:31:43,Công nghệ thông tin,< 3 tháng,1,"ChatGPT, Gemini",2,AI thực sự hữu ích cho học sinh,8,Bình thường,0
20/03/2026 07:14:23,Công nghệ thông tin,> 1 năm,4,Gemini,1,Ko biếc j,3,Bình thường,0
19/03/2026 04:15:00,Công nghệ thông tin,6-12 tháng,3,Không,1,"Nhìn chung, AI khá hữu ích cho Việc học tập và lập trình ,trả lời những câu hỏi thắt mắt",20,Bình thường,0
18/03/2026 19:30:19,Marketing,3-6 tháng,2,ChatGPT,1,"AI này khá bổ ích giúp tôi giải quyết mọi vấn đề , đặc biệt là học tập.",18,Tích cực,1
13/03/2026 21:46:01,Ngôn Ngữ,< 3 tháng,1,"ChatGPT, Gemini",2,"Theo quan sát, Rất tiện ích",6,Bình thường,0
