sample_id,text,text_clean,text_plm,label,label_id,word_count,source,original_split
13,AI này rất hữu ích khí học tập và lập trình,ai này rất hữu ích khí học tập và lập trình,ai này rất hữu ích khí học tập và lập trình,Tiêu cực,0,11,Khao_sat_AI,main
15,AI giúp tôi trong học tập thực sự nhiều,ai giúp tôi trong học tập thực sự nhiều,ai giúp tôi trong học tập thực sự nhiều,Bình thường,1,9,Khao_sat_AI,main
16,"AI dùng rất tốt về công nghệ,...","ai dùng rất tốt về công nghệ,...","ai dùng rất tốt về công nghệ,...",Tích cực,2,7,Khao_sat_AI,main
17,"Giải đáp thắc mắc, cập nhật thông tin mau lẹ, mói mẻ, thông minh, và rất nhiệt tình","giải đáp thắc mắc, cập nhật thông tin mau lẹ, mói mẻ, thông minh, và rất nhiệt tình","giải đáp thắc mắc, cập nhật thông tin mau lẹ, mói mẻ, thông minh, và rất nhiệt tình",Bình thường,1,18,Khao_sat_AI,main
18,"Theo quan sát, rất hiệu quả có thể giúp đỡ cho học tập và giải bài tập khó","theo quan sát, rất hiệu quả có thể giúp đỡ cho học tập và giải bài tập khó","theo quan sát, rất hiệu quả có thể giúp đỡ cho học tập và giải bài tập khó",Bình thường,1,18,Khao_sat_AI,main
19,AI rất thông minh và hữu ích,ai rất thông minh và hữu ích,ai rất thông minh và hữu ích,Tích cực,2,7,Khao_sat_AI,main
20,khá hiểuu ít và đáng tin cậy,khá hiểuu ít và đáng tin cậy,khá hiểuu ít và đáng tin cậy,Tích cực,2,7,Khao_sat_AI,main
23,Al rất hữu ích cho công việc và học tập,al rất hữu ích cho công việc và học tập,al rất hữu ích cho công việc và học tập,Tích cực,2,10,Khao_sat_AI,main
25,"AI trả lời nhanh, giải thích khá rõ ràng nhiều chủ đề từ công nghệ đến đời sống, đôi khi còn gợi ý những góc nhìn mới khiến việc học và suy nghĩ trở nên thú vị hơn.","ai trả lời nhanh, giải thích khá rõ ràng nhiều chủ đề từ công nghệ đến đời sống, đôi khi còn gợi ý những góc nhìn mới khiến việc học và suy nghĩ trở nên thú vị hơn.","ai trả lời nhanh, giải thích khá rõ ràng nhiều chủ đề từ công nghệ đến đời sống, đôi khi còn gợi ý những góc nhìn mới khiến việc học và suy nghĩ trở nên thú vị hơn.",Bình thường,1,38,Khao_sat_AI,main
27,AI khá là tốt nhưng không nên quá lạm dụng nó Còn nhiều điểm cần xem xét.,ai khá là tốt nhưng không nên quá lạm dụng nó còn nhiều điểm cần xem xét.,ai khá là tốt nhưng không nên quá lạm dụng nó còn nhiều điểm cần xem xét.,Bình thường,1,17,Khao_sat_AI,main
31,"Thật sự, AI giúp tiết kiệm thời gian, nâng cao hiệu suất làm việc và mang lại nhiều tiện ích trong cuộc sống.","thật sự, ai giúp tiết kiệm thời gian, nâng cao hiệu suất làm việc và mang lại nhiều tiện ích trong cuộc sống.","thật sự, ai giúp tiết kiệm thời gian, nâng cao hiệu suất làm việc và mang lại nhiều tiện ích trong cuộc sống.",Tích cực,2,23,Khao_sat_AI,main
32,AI khá tốt có thể tìm kiếm câu trả lời trong giây lát và rất mau lẹ,ai khá tốt có thể tìm kiếm câu trả lời trong giây lát và rất mau lẹ,ai khá tốt có thể tìm kiếm câu trả lời trong giây lát và rất mau lẹ,Tích cực,2,17,Khao_sat_AI,main
33,AI này rất hữu ích trong việc tham khảo tài liệu học tập,ai này rất hữu ích trong việc tham khảo tài liệu học tập,ai này rất hữu ích trong việc tham khảo tài liệu học tập,Tích cực,2,13,Khao_sat_AI,main
34,Ai này rất hữu ích khi học tập và lập trình,ai này rất hữu ích khi học tập và lập trình,ai này rất hữu ích khi học tập và lập trình,Tích cực,2,11,Khao_sat_AI,main
37,"AI này là một công cụ rất hữu ích, giúp hỗ trợ hiệu quả trong việc học tập, tìm kiếm thông tin và lập trình, từ đó nâng cao năng suất và khả năng tự học Còn nhiều điểm cần xem xét.","ai này là một công cụ rất hữu ích, giúp hỗ trợ hiệu quả trong việc học tập, tìm kiếm thông tin và lập trình, từ đó nâng cao năng suất và khả năng tự học còn nhiều điểm cần xem xét.","ai này là một công cụ rất hữu ích, giúp hỗ trợ hiệu quả trong việc học tập, tìm kiếm thông tin và lập trình, từ đó nâng cao năng suất và khả năng tự học còn nhiều điểm cần xem xét.",Bình thường,1,42,Khao_sat_AI,main
38,Al rất hữu ích trong công việc,al rất hữu ích trong công việc,al rất hữu ích trong công việc,Bình thường,1,7,Khao_sat_AI,main
39,"Al này rất hiểu ích trong việc học tập, làm việc, nhìu thắc mắc được giải đáp","al này rất hiểu ích trong việc học tập, làm việc, nhìu thắc mắc được giải đáp","al này rất hiểu ích trong việc học tập, làm việc, nhìu thắc mắc được giải đáp",Tích cực,2,17,Khao_sat_AI,main
40,Al hữu ích giúp e Giải bài tập rất hay,al hữu ích giúp e giải bài tập rất hay,al hữu ích giúp e giải bài tập rất hay,Tích cực,2,10,Khao_sat_AI,main
46,AI khá thông minh và có thể đưa ra kết quả chính xác cho đa số các bài toán.,ai khá thông minh và có thể đưa ra kết quả chính xác cho đa số các bài toán.,ai khá thông minh và có thể đưa ra kết quả chính xác cho đa số các bài toán.,Tích cực,2,19,Khao_sat_AI,main
47,Khá thú vị khi Khá tiện lợi nhưng đôi khi hơi tào lao:) Cần cải thiện thêm.,khá thú vị khi khá tiện lợi nhưng đôi khi hơi tào lao emoticon_vui cần cải thiện thêm.,khá thú vị khi khá tiện lợi nhưng đôi khi hơi tào lao emoticon_vui cần cải thiện thêm.,Bình thường,1,18,Khao_sat_AI,main
48,"Trong quá trình học tập, AI thực sự hữu ích khi học tập và làm việc Tuyệt vời!","trong quá trình học tập, ai thực sự hữu ích khi học tập và làm việc tuyệt vời!","trong quá trình học tập, ai thực sự hữu ích khi học tập và làm việc tuyệt vời!",Tích cực,2,18,Khao_sat_AI,main
50,Al rất hữu ích trong việc học hỏi và học tập,al rất hữu ích trong việc học hỏi và học tập,al rất hữu ích trong việc học hỏi và học tập,Tích cực,2,11,Khao_sat_AI,main
51,"Trong quá trình học tập, AI giải quyết các vấn đề trong học tập, thực tế khá tốt Tuyệt vời!","trong quá trình học tập, ai giải quyết các vấn đề trong học tập, thực tế khá tốt tuyệt vời!","trong quá trình học tập, ai giải quyết các vấn đề trong học tập, thực tế khá tốt tuyệt vời!",Tích cực,2,20,Khao_sat_AI,main
54,Al làm rất chuyên nghiệp luôn trả lời đúng các câu hỏi,al làm rất chuyên nghiệp luôn trả lời đúng các câu hỏi,al làm rất chuyên nghiệp luôn trả lời đúng các câu hỏi,Tích cực,2,12,Khao_sat_AI,main
55,AI này rất nhanh khi học tập và rèn luyện,ai này rất nhanh khi học tập và rèn luyện,ai này rất nhanh khi học tập và rèn luyện,Tích cực,2,10,Khao_sat_AI,main
57,"Theo quan sát, AL này rất có ích trong học tập và làm việc giải thích cho tôi các câu hỏi khó hiểu Còn nhiều điểm cần xem xét.","theo quan sát, al này rất có ích trong học tập và làm việc giải thích cho tôi các câu hỏi khó hiểu còn nhiều điểm cần xem xét.","theo quan sát, al này rất có ích trong học tập và làm việc giải thích cho tôi các câu hỏi khó hiểu còn nhiều điểm cần xem xét.",Bình thường,1,29,Khao_sat_AI,main
58,.....,.....,.....,Bình thường,1,1,Khao_sat_AI,main
59,"AI này rất hữu dụng khi làm các bài tập về nhà, chẳng hạn như hỗ trợ sửa bài văn, hướng dẫn giải toán,...","ai này rất hữu dụng khi làm các bài tập về nhà, chẳng hạn như hỗ trợ sửa bài văn, hướng dẫn giải toán,...","ai này rất hữu dụng khi làm các bài tập về nhà, chẳng hạn như hỗ trợ sửa bài văn, hướng dẫn giải toán,...",Tích cực,2,24,Khao_sat_AI,main
61,Al là một số thông tin rất hữu ích khi học tập và làm việc trong quá trình lập trình,al là một số thông tin rất hữu ích khi học tập và làm việc trong quá trình lập trình,al là một số thông tin rất hữu ích khi học tập và làm việc trong quá trình lập trình,Bình thường,1,20,Khao_sat_AI,main
62,AI giúp tôi khá nhiều trong học tập và các công việc hằng ngày,ai giúp tôi khá nhiều trong học tập và các công việc hằng ngày,ai giúp tôi khá nhiều trong học tập và các công việc hằng ngày,Tích cực,2,14,Khao_sat_AI,main
63,AL này rất có ích trong học tập và làm việc giải thích cho tôi các câu hỏi khó hiểu,al này rất có ích trong học tập và làm việc giải thích cho tôi các câu hỏi khó hiểu,al này rất có ích trong học tập và làm việc giải thích cho tôi các câu hỏi khó hiểu,Bình thường,1,20,Khao_sat_AI,main
64,AI rất hữu dụng cho học tập và giúp có ú tưởng nhanh chóng chóng,ai rất hữu dụng cho học tập và giúp có ú tưởng nhanh chóng chóng,ai rất hữu dụng cho học tập và giúp có ú tưởng nhanh chóng chóng,Tích cực,2,15,Khao_sat_AI,main
65,........,........,........,Bình thường,1,1,Khao_sat_AI,main
67,AI giúp đỡ tiết kiệm thời gian trong tìm đọc những kiến thức mới. Tuyệt vời!,ai giúp đỡ tiết kiệm thời gian trong tìm đọc những kiến thức mới. tuyệt vời!,ai giúp đỡ tiết kiệm thời gian trong tìm đọc những kiến thức mới. tuyệt vời!,Tích cực,2,16,Khao_sat_AI,main
68,Al này hỗ trợ học tập tốt,al này hỗ trợ học tập tốt,al này hỗ trợ học tập tốt,Tích cực,2,7,Khao_sat_AI,main
69,"AI giúp con người sáng tạo nội dung, giải quyết vấn đề và học hỏi kiến thức mới mỗi ngày.","ai giúp con người sáng tạo nội dung, giải quyết vấn đề và học hỏi kiến thức mới mỗi ngày.","ai giúp con người sáng tạo nội dung, giải quyết vấn đề và học hỏi kiến thức mới mỗi ngày.",Tích cực,2,20,Khao_sat_AI,main
70,"Trong quá trình học tập, AI này cực kỳ thông dụng trong cuộc sống","trong quá trình học tập, ai này cực kỳ thông dụng trong cuộc sống","trong quá trình học tập, ai này cực kỳ thông dụng trong cuộc sống",Tích cực,2,14,Khao_sat_AI,main
73,AI là thứ không thể thíu,ai là thứ không thể thíu,ai là thứ không thể thíu,Bình thường,1,6,Khao_sat_AI,main
74,"Theo tôi, Al rất hữu ích trong việc học hỏi","theo tôi, al rất hữu ích trong việc học hỏi","theo tôi, al rất hữu ích trong việc học hỏi",Tích cực,2,10,Khao_sat_AI,main
75,AI rất có lợi trong việc đưa ra các sáng kiến và giải pháp xử lý vấn đề trong cuộc sống và học tập,ai rất có lợi trong việc đưa ra các sáng kiến và giải pháp xử lý vấn đề trong cuộc sống và học tập,ai rất có lợi trong việc đưa ra các sáng kiến và giải pháp xử lý vấn đề trong cuộc sống và học tập,Tích cực,2,24,Khao_sat_AI,main
77,AI là công nghệ thông minh giúp con người học tập nhanh hơn và xử lý thông tin hiệu quả hơn.,ai là công nghệ thông minh giúp con người học tập nhanh hơn và xử lý thông tin hiệu quả hơn.,ai là công nghệ thông minh giúp con người học tập nhanh hơn và xử lý thông tin hiệu quả hơn.,Tích cực,2,21,Khao_sat_AI,main
79,AI này rất hữu ích trong học tập,ai này rất hữu ích trong học tập,ai này rất hữu ích trong học tập,Tích cực,2,8,Khao_sat_AI,main
80,"AI này cũng tốt, rất phù hợp với mình","ai này cũng tốt, rất phù hợp với mình","ai này cũng tốt, rất phù hợp với mình",Tích cực,2,9,Khao_sat_AI,main
81,AI này rất hữu ích khi học tập,ai này rất hữu ích khi học tập,ai này rất hữu ích khi học tập,Bình thường,1,8,Khao_sat_AI,main
82,AI này rất tốt và hữu ích cho việc học tập và lập trình,ai này rất tốt và hữu ích cho việc học tập và lập trình,ai này rất tốt và hữu ích cho việc học tập và lập trình,Tích cực,2,14,Khao_sat_AI,main
84,"Rất hữu dụng nếu biết dùng đúng lệnh, và sẽ dễ gây sai lệch nếu không tìm hiểu kĩ Cần cải thiện thêm.","rất hữu dụng nếu biết dùng đúng lệnh, và sẽ dễ gây sai lệch nếu không tìm hiểu kĩ cần cải thiện thêm.","rất hữu dụng nếu biết dùng đúng lệnh, và sẽ dễ gây sai lệch nếu không tìm hiểu kĩ cần cải thiện thêm.",Bình thường,1,23,Khao_sat_AI,main
85,"Nhìn chung, AI là công nghệ phụ trợ con người xử lý dữ liệu nhanh chóng và tự động hóa nhiều công việc, mang lại hiệu quả cao trong nhiều lĩnh vực.","nhìn chung, ai là công nghệ phụ trợ con người xử lý dữ liệu nhanh chóng và tự động hóa nhiều công việc, mang lại hiệu quả cao trong nhiều lĩnh vực.","nhìn chung, ai là công nghệ phụ trợ con người xử lý dữ liệu nhanh chóng và tự động hóa nhiều công việc, mang lại hiệu quả cao trong nhiều lĩnh vực.",Bình thường,1,32,Khao_sat_AI,main
86,AI rất hữu ích trong việc học tập,ai rất hữu ích trong việc học tập,ai rất hữu ích trong việc học tập,Tích cực,2,8,Khao_sat_AI,main
88,"Thật sự, Ai tiện lợi trong việc tra cứu thông tin và tổng hợp các kiến thức cô đọng nhất","thật sự, ai tiện lợi trong việc tra cứu thông tin và tổng hợp các kiến thức cô đọng nhất","thật sự, ai tiện lợi trong việc tra cứu thông tin và tổng hợp các kiến thức cô đọng nhất",Tích cực,2,20,Khao_sat_AI,main
89,Al này thực sự hữu ích trong việc học tập và lập trình,al này thực sự hữu ích trong việc học tập và lập trình,al này thực sự hữu ích trong việc học tập và lập trình,Tích cực,2,13,Khao_sat_AI,main
90,AI rất hữu ích và tiện lợi trong học tập,ai rất hữu ích và tiện lợi trong học tập,ai rất hữu ích và tiện lợi trong học tập,Tích cực,2,10,Khao_sat_AI,main
91,"Theo quan sát, Al hỗ trợ giải quyết mọi vấn đề về học tập và các lĩnh vực khác.","theo quan sát, al hỗ trợ giải quyết mọi vấn đề về học tập và các lĩnh vực khác.","theo quan sát, al hỗ trợ giải quyết mọi vấn đề về học tập và các lĩnh vực khác.",Bình thường,1,19,Khao_sat_AI,main
93,Khá thú vị khi AI này rất hữu ích trong học tập và lập trình chỉnh sữa ảnh hoặc video Còn nhiều điểm cần xem xét.,khá thú vị khi ai này rất hữu ích trong học tập và lập trình chỉnh sữa ảnh hoặc video còn nhiều điểm cần xem xét.,khá thú vị khi ai này rất hữu ích trong học tập và lập trình chỉnh sữa ảnh hoặc video còn nhiều điểm cần xem xét.,Bình thường,1,26,Khao_sat_AI,main
94,AI giúp việc học tập dễ dàng hơn và có thể hiểu được bài mình chưa hiểu,ai giúp việc học tập dễ dàng hơn và có thể hiểu được bài mình chưa hiểu,ai giúp việc học tập dễ dàng hơn và có thể hiểu được bài mình chưa hiểu,Bình thường,1,17,Khao_sat_AI,main
96,"Theo quan sát, Al này thực sự hiểu ích khí học tập và lập trình","theo quan sát, al này thực sự hiểu ích khí học tập và lập trình","theo quan sát, al này thực sự hiểu ích khí học tập và lập trình",Bình thường,1,15,Khao_sat_AI,main
97,"AI giúp đỡ ích thực sự nhiều trong học tập có thể nói đến như là tra tìm tài liệu, tổng tài liệu, tổng hợp nội dung, làm bài tập, tiết kiệm thời gian.","ai giúp đỡ ích thực sự nhiều trong học tập có thể nói đến như là tra tìm tài liệu, tổng tài liệu, tổng hợp nội dung, làm bài tập, tiết kiệm thời gian.","ai giúp đỡ ích thực sự nhiều trong học tập có thể nói đến như là tra tìm tài liệu, tổng tài liệu, tổng hợp nội dung, làm bài tập, tiết kiệm thời gian.",Bình thường,1,34,Khao_sat_AI,main
98,"AI rất hữu ích trong đời sống, lập trình và các lĩnh vực khác nữa","ai rất hữu ích trong đời sống, lập trình và các lĩnh vực khác nữa","ai rất hữu ích trong đời sống, lập trình và các lĩnh vực khác nữa",Tích cực,2,15,Khao_sat_AI,main
99,"Al là một công cụ khá hữu ích, tiện lợi khi học tập và lập trình. Al trợ giúp ta trao dồi kiến thức, giải các bài tập,.... Al là một công cụ mà mọi nhà nên dùng","al là một công cụ khá hữu ích, tiện lợi khi học tập và lập trình. al trợ giúp ta trao dồi kiến thức, giải các bài tập,.... al là một công cụ mà mọi nhà nên dùng","al là một công cụ khá hữu ích, tiện lợi khi học tập và lập trình. al trợ giúp ta trao dồi kiến thức, giải các bài tập,.... al là một công cụ mà mọi nhà nên dùng",Tiêu cực,0,38,Khao_sat_AI,main
100,giúp tôi rất nhiều,giúp tôi rất nhiều,giúp tôi rất nhiều,Bình thường,1,4,Khao_sat_AI,main
102,Ai này rất thông minh và hữu dụng khi học tập Tuyệt vời!,ai này rất thông minh và hữu dụng khi học tập tuyệt vời!,ai này rất thông minh và hữu dụng khi học tập tuyệt vời!,Tích cực,2,13,Khao_sat_AI,main
104,AI này giúp đỡ học tập,ai này giúp đỡ học tập,ai này giúp đỡ học tập,Bình thường,1,6,Khao_sat_AI,main
106,Khá thú vị khi Giúp tôi có thể tính các khoản chi phí và phụ trợ tôi tiết kiệm kinh tế,khá thú vị khi giúp tôi có thể tính các khoản chi phí và phụ trợ tôi tiết kiệm kinh tế,khá thú vị khi giúp tôi có thể tính các khoản chi phí và phụ trợ tôi tiết kiệm kinh tế,Bình thường,1,21,Khao_sat_AI,main
108,Chúng tôi đề xuất rằng AI sẽ được đánh giá tích cực khi nó được xem là vượt trội hơn con người và khi cá nhân hóa không phải là yếu tố quan trọng trong ngữ cảnh quyết định đó,chúng tôi đề xuất rằng ai sẽ được đánh giá tích cực khi nó được xem là vượt trội hơn con người và khi cá nhân hóa không phải là yếu tố quan trọng trong ngữ cảnh quyết định đó,chúng tôi đề xuất rằng ai sẽ được đánh giá tích cực khi nó được xem là vượt trội hơn con người và khi cá nhân hóa không phải là yếu tố quan trọng trong ngữ cảnh quyết định đó,Tích cực,2,40,Khao_sat_AI,main
109,Rất hưũ ít khi học tập,rất hưũ ít khi học tập,rất hưũ ít khi học tập,Tích cực,2,6,Khao_sat_AI,main
110,"AI là trợ thủ đắc lực trong học tập, giúp cá nhân hóa lộ trình tri thức, giải đáp thắc mắc tức thì và mở ra kho tàng sáng tạo vô tận.","ai là trợ thủ đắc lực trong học tập, giúp cá nhân hóa lộ trình tri thức, giải đáp thắc mắc tức thì và mở ra kho tàng sáng tạo vô tận.","ai là trợ thủ đắc lực trong học tập, giúp cá nhân hóa lộ trình tri thức, giải đáp thắc mắc tức thì và mở ra kho tàng sáng tạo vô tận.",Tích cực,2,32,Khao_sat_AI,main
112,"Giải đáp những câu hỏi ,bài toán khó, giải trình có logic, hay , thông minh","giải đáp những câu hỏi ,bài toán khó, giải trình có logic, hay , thông minh","giải đáp những câu hỏi ,bài toán khó, giải trình có logic, hay , thông minh",Bình thường,1,16,Khao_sat_AI,main
113,AI cực kỳ có lợi trong việc đưa ra các sáng kiến và giải pháp xử lý vấn đề trong cuộc sống và học tập,ai cực kỳ có lợi trong việc đưa ra các sáng kiến và giải pháp xử lý vấn đề trong cuộc sống và học tập,ai cực kỳ có lợi trong việc đưa ra các sáng kiến và giải pháp xử lý vấn đề trong cuộc sống và học tập,Tích cực,2,25,Khao_sat_AI,main
116,AI này rất hữu ích trong học tập và lập trình chỉnh sữa ảnh hoặc video,ai này rất hữu ích trong học tập và lập trình chỉnh sữa ảnh hoặc video,ai này rất hữu ích trong học tập và lập trình chỉnh sữa ảnh hoặc video,Bình thường,1,16,Khao_sat_AI,main
117,"Al rất hữu ích trong học tập, hỗ trợ tìm kiếm thông tin nhanh hỗ trợ làm bài và giải thích dễ hiểu","al rất hữu ích trong học tập, hỗ trợ tìm kiếm thông tin nhanh hỗ trợ làm bài và giải thích dễ hiểu","al rất hữu ích trong học tập, hỗ trợ tìm kiếm thông tin nhanh hỗ trợ làm bài và giải thích dễ hiểu",Tích cực,2,23,Khao_sat_AI,main
118,"Al đã giúp tôi trong việc học tập và nó có nhiều lợi thế cho tôi như giải các bài tập khó,...","al đã giúp tôi trong việc học tập và nó có nhiều lợi thế cho tôi như giải các bài tập khó,...","al đã giúp tôi trong việc học tập và nó có nhiều lợi thế cho tôi như giải các bài tập khó,...",Tích cực,2,22,Khao_sat_AI,main
119,"AI hữu ích khi học tập, đặc biệt là trong việc học lập trình, có thể sửa lỗi code và giải thích code Tôi rất hài lòng.","ai hữu ích khi học tập, đặc biệt là trong việc học lập trình, có thể sửa lỗi code và giải thích code tôi rất hài lòng.","ai hữu ích khi học tập, đặc biệt là trong việc học lập trình, có thể sửa lỗi code và giải thích code tôi rất hài lòng.",Tích cực,2,27,Khao_sat_AI,main
120,Ai đưa ra kết quả nhanh chóng Cần cải thiện thêm.,ai đưa ra kết quả nhanh chóng cần cải thiện thêm.,ai đưa ra kết quả nhanh chóng cần cải thiện thêm.,Bình thường,1,11,Khao_sat_AI,main
121,"Thật sự, AI rất hữu dụng trong học tập và lập trình Tuyệt vời!","thật sự, ai rất hữu dụng trong học tập và lập trình tuyệt vời!","thật sự, ai rất hữu dụng trong học tập và lập trình tuyệt vời!",Tích cực,2,14,Khao_sat_AI,main
124,"Trong quá trình học tập, AI giúp tôi thực sự nhiều trong học tập và những việc khác hằng ngày Tuyệt vời!","trong quá trình học tập, ai giúp tôi thực sự nhiều trong học tập và những việc khác hằng ngày tuyệt vời!","trong quá trình học tập, ai giúp tôi thực sự nhiều trong học tập và những việc khác hằng ngày tuyệt vời!",Tích cực,2,22,Khao_sat_AI,main
125,Al rất hữu ích trong việc học tập và còn dùng để lm ảnh hoặc nhiều thứ khác,al rất hữu ích trong việc học tập và còn dùng để lm ảnh hoặc nhiều thứ khác,al rất hữu ích trong việc học tập và còn dùng để lm ảnh hoặc nhiều thứ khác,Tích cực,2,18,Khao_sat_AI,main
126,"AI là công nghệ thông minh giúp con người học tập hiệu quả hơn, hỗ trợ tìm kiếm thông tin, giải đáp thắc mắc và nâng cao khả năng sáng tạo.","ai là công nghệ thông minh giúp con người học tập hiệu quả hơn, hỗ trợ tìm kiếm thông tin, giải đáp thắc mắc và nâng cao khả năng sáng tạo.","ai là công nghệ thông minh giúp con người học tập hiệu quả hơn, hỗ trợ tìm kiếm thông tin, giải đáp thắc mắc và nâng cao khả năng sáng tạo.",Bình thường,1,31,Khao_sat_AI,main
127,AI rất hữu ích trong việc học tập và lập trình,ai rất hữu ích trong việc học tập và lập trình,ai rất hữu ích trong việc học tập và lập trình,Tích cực,2,11,Khao_sat_AI,main
129,AI khá là tốt nhưng không nên quá lạm dụng nó,ai khá là tốt nhưng không nên quá lạm dụng nó,ai khá là tốt nhưng không nên quá lạm dụng nó,Bình thường,1,11,Khao_sat_AI,main
130,AI hỗ trợ nhiều trong đời sống như học tập,ai hỗ trợ nhiều trong đời sống như học tập,ai hỗ trợ nhiều trong đời sống như học tập,Tích cực,2,10,Khao_sat_AI,main
131,Tôi nghĩ AI sẽ ko hiểu đc ý toii muốn j,tôi nghĩ ai sẽ ko hiểu đc ý toii muốn j,tôi nghĩ ai sẽ ko hiểu đc ý toii muốn j,Bình thường,1,11,Khao_sat_AI,main
132,"AI rất hữu ích cho Việc học tập và lập trình ,trả lời những câu hỏi thắt mắt","ai rất hữu ích cho việc học tập và lập trình ,trả lời những câu hỏi thắt mắt","ai rất hữu ích cho việc học tập và lập trình ,trả lời những câu hỏi thắt mắt",Bình thường,1,18,Khao_sat_AI,main
134,AI thực sự hữu ích cho học sinh,ai thực sự hữu ích cho học sinh,ai thực sự hữu ích cho học sinh,Bình thường,1,8,Khao_sat_AI,main
